time,temperature_C,humidity_pct,snowfall_cm,precip_mm,dewpoint_C,segment_id,CP,S_struct,SCE,admissible,depth_est_cm,depth_min_cm,depth_max_cm,corridor_score
2024-05-25 12:00:00+00:00,12.8,66.43412237728971,0.0,0.0,6.7,0,6.965359110797455,11.540554487089201,9.727491682976477e-06,False,26.976326369811517,0.00026241199039960054,53.952390327632635,0.00026241199039960054
2024-05-25 12:52:00+00:00,13.3,61.69761977290433,0.0,0.0,6.1,0,8.169220189412071,10.613306072950234,2.4586671447146443e-05,False,28.80607916328687,0.0007082456040682254,57.61145008096967,0.0007082456040682254
2024-05-25 13:52:00+00:00,15.0,55.265796404108514,0.0,0.0,6.1,0,9.648304897101122,9.994469272182847,4.565172006690628e-05,False,30.750209293647508,0.001403799946672376,61.499014787348344,0.001403799946672376
2024-05-25 14:52:00+00:00,16.7,51.66659458974157,0.0,0.0,6.7,0,10.563102024919386,10.909266400001112,1.8287982643063252e-05,False,31.82164919054106,0.0005819537680702626,63.64271642731405,0.0005819537680702626
2024-05-25 15:00:00+00:00,16.7,51.66659458974157,0.0,0.0,6.7,0,10.563102024919386,9.304479350120207,9.101562616225475e-05,False,31.82164919054106,0.0028962673265927013,63.64040211375553,0.0028962673265927013
2024-05-25 15:52:00+00:00,17.8,49.8757317016065,0.0,0.0,7.2,0,11.018279675653718,9.759657000854538,5.77344215966884e-05,False,32.323574361498444,0.0018661828696986593,64.6452825401272,0.0018661828696986593
2024-05-25 16:52:00+00:00,19.4,45.12399433011115,0.0,0.0,7.2,0,13.228145131147208,11.240073797311258,1.3137053653793649e-05,False,34.517886707512844,0.00045346332969216683,69.035319951696,0.00045346332969216683
2024-05-25 17:52:00+00:00,21.7,39.15825383710428,0.0,0.0,7.2,0,20.050248715734014,18.062177381898064,1.43118584384458e-08,False,39.609860881927546,5.668907217086789e-07,79.21972119696437,5.668907217086789e-07
2024-05-25 18:00:00+00:00,21.7,39.15825383710428,0.0,0.0,7.2,0,20.050248715734014,18.062177381898064,1.43118584384458e-08,False,39.609860881927546,5.668907217086789e-07,79.21972119696437,5.668907217086789e-07
2024-05-25 18:52:00+00:00,21.1,51.102197377684455,0.0,0.0,10.6,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
